thisN,thisTrialN,thisRepN,block_start_key_resp.keys,block_start_key_resp.rt,block_start_key_resp.duration,block_rest_key_resp.keys,block_rest_key_resp.rt,block_rest_key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,estimate_frame_rate.started,frame_rate_prompt.started,estimate_frame_rate.stopped,welcome.started,welcome_key_resp.started,welcome_text.started,welcome.stopped,welcome_key_resp.keys,welcome_key_resp.rt,welcome_key_resp.duration,gradcpt_prep.started,gradcpt_prep_text.started,key_resp.started,gradcpt_prep.stopped,key_resp.keys,key_resp.rt,key_resp.duration,block_start.started,black_start_text.started,block_start_key_resp.started,block_start.stopped,blocks.block_start_key_resp.keys,blocks.block_start_key_resp.rt,blocks.block_start_key_resp.duration,gradcpt_stim.started,gradcpt_image.started,gradcpt_stim.stopped,block_rest.started,block_rest_text.started,block_rest_key_resp.started,block_rest.stopped,blocks.block_rest_key_resp.keys,blocks.block_rest_key_resp.rt,blocks.block_rest_key_resp.duration,debrief.started,debrief_text.started,debrief_resp.started,debrief.stopped,debrief_resp.keys,debrief_resp.rt,debrief_resp.duration,Thanks.started,thanks_text.started,Thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.009020500001497567,0.02281669992953539,5.011177400010638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432717,001,2024-09-19_17h17.36.759,gradcptpy,2024.2.1post4,61.071909730940604,2024-09-19 17h17.51.410777 -0400,
,,,,,,,,,,,,,,,,,,,,,,5.01164289994631,5.025522599928081,5.025522599928081,6.571409899974242,space,1.5268801000202075,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432717,001,2024-09-19_17h17.36.759,gradcptpy,2024.2.1post4,61.071909730940604,2024-09-19 17h17.51.410777 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.598997799912468,6.6070930999703705,6.6070930999703705,7.646181899937801,space,1.0333834999473765,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,432717,001,2024-09-19_17h17.36.759,gradcptpy,2024.2.1post4,61.071909730940604,2024-09-19 17h17.51.410777 -0400,
0,0,0,space,1.5008889000164345,None,,,,0,0,0,0,0,0,0,0,9.209617599961348,,,,,,,,,,,,,,,,,,,7.653159699984826,7.6586846999125555,7.6586846999125555,9.16337779990863,space,1.5008889000164345,None,9.186768899904564,9.209617599961348,17.352258499944583,,,,,,,,,,,,,,,,,,432717,001,2024-09-19_17h17.36.759,gradcptpy,2024.2.1post4,61.071909730940604,2024-09-19 17h17.51.410777 -0400,
0,0,0,space,1.5008889000164345,None,space,1.517788999946788,None,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.365588399930857,17.3785447999835,17.3785447999835,18.899652599939145,space,1.517788999946788,None,,,,,,,,,,,432717,001,2024-09-19_17h17.36.759,gradcptpy,2024.2.1post4,61.071909730940604,2024-09-19 17h17.51.410777 -0400,
0,0,0,space,1.4716510000871494,None,,,,1,0,1,0,0,0,0,0,20.429702599998564,,,,,,,,,,,,,,,,,,,18.899814800010063,18.912730899988674,18.912730899988674,20.399781599990092,space,1.4716510000871494,None,20.42148699995596,20.429702599998564,28.572284499998204,,,,,,,,,,,,,,,,,,432717,001,2024-09-19_17h17.36.759,gradcptpy,2024.2.1post4,61.071909730940604,2024-09-19 17h17.51.410777 -0400,
1,0,1,space,1.4716510000871494,None,space,1.1527593999635428,None,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.582514800014906,28.599358799983747,28.599358799983747,29.76138209993951,space,1.1527593999635428,None,,,,,,,,,,,432717,001,2024-09-19_17h17.36.759,gradcptpy,2024.2.1post4,61.071909730940604,2024-09-19 17h17.51.410777 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.768648399971426,29.780805499991402,29.780805499991402,30.302164799999446,space,0.5070185998920351,None,,,,432717,001,2024-09-19_17h17.36.759,gradcptpy,2024.2.1post4,61.071909730940604,2024-09-19 17h17.51.410777 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.302218499942683,30.31714259996079,35.30420049990062,432717,001,2024-09-19_17h17.36.759,gradcptpy,2024.2.1post4,61.071909730940604,2024-09-19 17h17.51.410777 -0400,
