thisN,thisTrialN,thisRepN,block_start_key_resp.keys,block_start_key_resp.rt,block_start_key_resp.duration,es_gradcpt_slider.response,es_gradcpt_slider.rt,es_gradcpt_key_resp.keys,es_gradcpt_key_resp.rt,es_gradcpt_key_resp.duration,block_rest_key_resp.keys,block_rest_key_resp.rt,block_rest_key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ES_loop.thisRepN,ES_loop.thisTrialN,ES_loop.thisN,ES_loop.thisIndex,thisRow.t,notes,estimate_frame_rate.started,frame_rate_prompt.started,estimate_frame_rate.stopped,welcome.started,welcome_key_resp.started,welcome_text.started,welcome.stopped,welcome_key_resp.keys,welcome_key_resp.rt,welcome_key_resp.duration,gradcpt_prep.started,gradcpt_prep_text.started,key_resp.started,gradcpt_prep.stopped,key_resp.keys,key_resp.rt,key_resp.duration,block_start.started,black_start_text.started,block_start_key_resp.started,block_start.stopped,blocks.block_start_key_resp.keys,blocks.block_start_key_resp.rt,blocks.block_start_key_resp.duration,prepare_block.started,prepare_block_text.started,prepare_block.stopped,gradcpt_stim.started,gradcpt_image.started,gradcpt_stim.stopped,ES_gradcpt.started,es_text_component_gradcpt.started,es_gradcpt_slider.started,low_anchor_gradcpt.started,es_gradcpt_mouse.started,high_anchor_gradcpt.started,es_gradcpt_key_resp.started,enter_advance_gradcpt.started,ES_gradcpt.stopped,ES_loop.es_gradcpt_slider.response,ES_loop.es_gradcpt_slider.rt,ES_loop.es_gradcpt_key_resp.keys,ES_loop.es_gradcpt_key_resp.rt,ES_loop.es_gradcpt_key_resp.duration,ES_isi_gradcpt.started,es_gradcpt_isi_text.started,es_gradcpt_isi_text.stopped,ES_isi_gradcpt.stopped,prepare_trial.started,prepare_text.started,prepare_trial.stopped,block_rest.started,block_rest_text.started,block_rest_key_resp.started,block_rest.stopped,blocks.block_rest_key_resp.keys,blocks.block_rest_key_resp.rt,blocks.block_rest_key_resp.duration,debrief.started,debrief_text.started,debrief_resp.started,debrief.stopped,debrief_resp.keys,debrief_resp.rt,debrief_resp.duration,Thanks.started,thanks_text.started,Thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01318900000001122,0.027130700000043362,5.015994699999965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,064424,001,2024-09-13_16h55.33.818,gradcptpy,2024.2.1post4,59.93515016749171,2024-09-13 16h55.38.922700 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0162368000000015,5.02958430000001,5.02958430000001,5.603831300000024,space,0.5647283999999217,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,064424,001,2024-09-13_16h55.33.818,gradcptpy,2024.2.1post4,59.93515016749171,2024-09-13 16h55.38.922700 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.633155800000054,5.646338700000001,5.646338700000001,6.067828200000008,space,0.4078177000000096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,064424,001,2024-09-13_16h55.33.818,gradcptpy,2024.2.1post4,59.93515016749171,2024-09-13 16h55.38.922700 -0400,
0,0,0,space,1.636626700000079,None,0.7133333333333334,1.787760599999956,return,0.43383940000001076,None,,,,0,0,0,0,0,0,0,0,0,0,0,0,47.958029500000066,,,,,,,,,,,,,,,,,,,6.080350700000054,6.097046399999954,6.097046399999954,7.736281299999973,space,1.636626700000079,None,7.768348199999991,7.781875099999979,12.774111100000027,12.775180399999954,12.788221799999974,47.93333140000004,47.94798609999998,47.958029500000066,47.958029500000066,47.958029500000066,0.014673100000095474,47.958029500000066,49.76051800000005,49.76051800000005,50.19886440000005,0.7133333333333334,1.787760599999956,return,0.43383940000001076,None,50.19907820000003,50.211033300000054,50.72775530000001,50.69820630000004,,,,,,,,,,,,,,,,,,,,,064424,001,2024-09-13_16h55.33.818,gradcptpy,2024.2.1post4,59.93515016749171,2024-09-13 16h55.38.922700 -0400,
1,0,1,space,1.636626700000079,None,0.32833333333333337,0.596319400000084,return,0.2860492999999451,None,,,,0,0,0,0,0,0,0,0,1,0,1,0,50.72775530000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.70934420000003,50.72775530000001,50.72775530000001,50.72775530000001,0.011156400000004396,50.72775530000001,51.328909299999964,51.328909299999964,51.61674549999998,0.32833333333333337,0.596319400000084,return,0.2860492999999451,None,51.61695559999998,51.62903630000005,52.14589330000001,52.11648730000002,,,,,,,,,,,,,,,,,,,,,064424,001,2024-09-13_16h55.33.818,gradcptpy,2024.2.1post4,59.93515016749171,2024-09-13 16h55.38.922700 -0400,
2,0,2,space,1.636626700000079,None,0.5983333333333334,0.4792377999999644,return,0.08412450000002991,None,,,,0,0,0,0,0,0,0,0,2,0,2,0,52.14589330000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.12866810000003,52.14589330000001,52.14589330000001,52.14589330000001,0.012205800000060663,52.14589330000001,52.630277800000044,52.630277800000044,52.71804210000005,0.5983333333333334,0.4792377999999644,return,0.08412450000002991,None,52.7182497,52.730412799999954,53.247059899999954,53.217658400000005,,,,,,,,,,,,,,,,,,,,,064424,001,2024-09-13_16h55.33.818,gradcptpy,2024.2.1post4,59.93515016749171,2024-09-13 16h55.38.922700 -0400,
3,0,3,space,1.636626700000079,None,0.5083333333333333,0.4317801000000827,return,0.03329669999993712,None,,,,0,0,0,0,0,0,0,0,3,0,3,0,53.247059899999954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.227083600000014,53.247059899999954,53.247059899999954,53.247059899999954,0.009439900000074886,53.247059899999954,53.681329000000005,53.681329000000005,53.719310000000064,0.5083333333333333,0.4317801000000827,return,0.03329669999993712,None,53.71951550000006,53.731322399999954,54.24808519999999,54.2187864,,,,,,,,,,,,,,,,,,,,,064424,001,2024-09-13_16h55.33.818,gradcptpy,2024.2.1post4,59.93515016749171,2024-09-13 16h55.38.922700 -0400,
4,0,4,space,1.636626700000079,None,0.6733333333333333,0.5483609999999999,return,0.4756057999999257,None,,,,0,0,0,0,0,0,0,0,4,0,4,0,54.24808519999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.22791600000005,54.24808519999999,54.24808519999999,54.24808519999999,0.009145600000010745,54.24808519999999,54.799121600000035,54.799121600000035,55.28734240000006,0.6733333333333333,0.5483609999999999,return,0.4756057999999257,None,55.287549600000034,55.29976399999998,55.81732750000003,55.78759230000003,,,,,,,,,,,,,,,,,,,,,064424,001,2024-09-13_16h55.33.818,gradcptpy,2024.2.1post4,59.93515016749171,2024-09-13 16h55.38.922700 -0400,
5,0,5,space,1.636626700000079,None,0.575,1.0459172999999282,return,0.8484737999999652,None,,,,0,0,0,0,0,0,0,0,5,0,5,0,55.81732750000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.79926339999997,55.81732750000003,55.81732750000003,55.81732750000003,0.011697199999957775,55.81732750000003,56.86802009999997,56.86802009999997,57.72329830000001,0.575,1.0459172999999282,return,0.8484737999999652,None,57.72351760000004,57.735712300000046,58.252720299999964,58.22358310000004,,,,,,,,,,,,,,,,,,,,,064424,001,2024-09-13_16h55.33.818,gradcptpy,2024.2.1post4,59.93515016749171,2024-09-13 16h55.38.922700 -0400,
0,0,0,space,1.636626700000079,None,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.23015039999996,58.252720299999964,63.22786199999996,,,,,,,,,,,,,,,,,,064424,001,2024-09-13_16h55.33.818,gradcptpy,2024.2.1post4,59.93515016749171,2024-09-13 16h55.38.922700 -0400,
0,0,0,space,1.636626700000079,None,0.21999999999999997,1.8461478000000398,return,0.020394000000010237,None,,,,0,0,0,0,1,0,1,0,0,0,0,0,77.12249150000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.22803899999997,63.242009199999984,77.09537030000001,77.10372259999997,77.12249150000002,77.12249150000002,77.12249150000002,0.008359300000051917,77.12249150000002,78.97488169999997,78.97488169999997,79.01290660000006,0.21999999999999997,1.8461478000000398,return,0.020394000000010237,None,79.01312440000004,79.02504299999998,79.54171240000005,79.51263749999998,,,,,,,,,,,,,,,,,,,,,064424,001,2024-09-13_16h55.33.818,gradcptpy,2024.2.1post4,59.93515016749171,2024-09-13 16h55.38.922700 -0400,
1,0,1,space,1.636626700000079,None,0.74,0.46411749999992935,return,0.06545610000000579,None,,,,0,0,0,0,1,0,1,0,1,0,1,0,79.54171240000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.52193190000003,79.54171240000005,79.54171240000005,79.54171240000005,0.009309900000062044,79.54171240000005,80.00936439999998,80.00936439999998,80.08050209999999,0.74,0.46411749999992935,return,0.06545610000000579,None,80.08073490000004,80.09276829999999,80.6096579,80.58168220000005,,,,,,,,,,,,,,,,,,,,,064424,001,2024-09-13_16h55.33.818,gradcptpy,2024.2.1post4,59.93515016749171,2024-09-13 16h55.38.922700 -0400,
2,0,2,space,1.636626700000079,None,0.42166666666666663,0.8129232999999658,return,0.24793669999996837,None,,,,0,0,0,0,1,0,1,0,2,0,2,0,80.6096579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.58993859999998,80.6096579,80.6096579,80.6096579,0.00827449999997043,80.6096579,81.42748129999995,81.42748129999995,81.68247800000006,0.42166666666666663,0.8129232999999658,return,0.24793669999996837,None,81.6827151,81.69494380000003,82.2124619,82.18339709999998,,,,,,,,,,,,,,,,,,,,,064424,001,2024-09-13_16h55.33.818,gradcptpy,2024.2.1post4,59.93515016749171,2024-09-13 16h55.38.922700 -0400,
3,0,3,space,1.636626700000079,None,0.4683333333333333,0.9465025000000651,return,0.1324334999999337,None,,,,0,0,0,0,1,0,1,0,3,0,3,0,82.2124619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.19328170000006,82.2124619,82.2124619,82.2124619,0.009918200000015531,82.2124619,83.1627029,83.1627029,83.30047160000004,0.4683333333333333,0.9465025000000651,return,0.1324334999999337,None,83.30066120000004,83.31278750000001,83.82956130000002,83.80028089999996,,,,,,,,,,,,,,,,,,,,,064424,001,2024-09-13_16h55.33.818,gradcptpy,2024.2.1post4,59.93515016749171,2024-09-13 16h55.38.922700 -0400,
4,0,4,space,1.636626700000079,None,0.5316666666666666,0.7477297000000362,return,0.15412309999999252,None,,,,0,0,0,0,1,0,1,0,4,0,4,0,83.82956130000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.80995429999996,83.82956130000002,83.82956130000002,83.82956130000002,0.009694400000057612,83.82956130000002,84.58121770000002,84.58121770000002,84.75211579999996,0.5316666666666666,0.7477297000000362,return,0.15412309999999252,None,84.75232670000003,84.76447710000002,85.28113489999998,85.25161890000004,,,,,,,,,,,,,,,,,,,,,064424,001,2024-09-13_16h55.33.818,gradcptpy,2024.2.1post4,59.93515016749171,2024-09-13 16h55.38.922700 -0400,
