thisN,thisTrialN,thisRepN,block_start_key_resp.keys,block_start_key_resp.rt,block_start_key_resp.duration,es_gradcpt_slider.response,es_gradcpt_slider.rt,es_gradcpt_key_resp.keys,es_gradcpt_key_resp.rt,es_gradcpt_key_resp.duration,block_rest_key_resp.keys,block_rest_key_resp.rt,block_rest_key_resp.duration,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ES_loop.thisRepN,ES_loop.thisTrialN,ES_loop.thisN,ES_loop.thisIndex,thisRow.t,notes,estimate_frame_rate.started,frame_rate_prompt.started,estimate_frame_rate.stopped,welcome.started,welcome_key_resp.started,welcome_text.started,welcome.stopped,welcome_key_resp.keys,welcome_key_resp.rt,welcome_key_resp.duration,gradcpt_prep.started,gradcpt_prep_text.started,key_resp.started,gradcpt_prep.stopped,key_resp.keys,key_resp.rt,key_resp.duration,block_start.started,black_start_text.started,block_start_key_resp.started,block_start.stopped,blocks.block_start_key_resp.keys,blocks.block_start_key_resp.rt,blocks.block_start_key_resp.duration,prepare_block.started,prepare_block_text.started,prepare_block.stopped,gradcpt_stim.started,gradcpt_image.started,gradcpt_stim.stopped,ES_gradcpt.started,es_text_component_gradcpt.started,es_gradcpt_slider.started,low_anchor_gradcpt.started,es_gradcpt_mouse.started,high_anchor_gradcpt.started,es_gradcpt_key_resp.started,enter_advance_gradcpt.started,ES_gradcpt.stopped,ES_loop.es_gradcpt_slider.response,ES_loop.es_gradcpt_slider.rt,ES_loop.es_gradcpt_key_resp.keys,ES_loop.es_gradcpt_key_resp.rt,ES_loop.es_gradcpt_key_resp.duration,ES_isi_gradcpt.started,es_gradcpt_isi_text.started,es_gradcpt_isi_text.stopped,ES_isi_gradcpt.stopped,prepare_trial.started,prepare_text.started,prepare_trial.stopped,block_rest.started,block_rest_text.started,block_rest_key_resp.started,block_rest.stopped,blocks.block_rest_key_resp.keys,blocks.block_rest_key_resp.rt,blocks.block_rest_key_resp.duration,debrief.started,debrief_text.started,debrief_resp.started,debrief.stopped,debrief_resp.keys,debrief_resp.rt,debrief_resp.duration,Thanks.started,thanks_text.started,Thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007266700034961104,0.0265089999884367,5.011903899954632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762571,001,2024-09-18_16h43.21.551,gradcptpy,2024.2.1post4,59.94592880712294,2024-09-18 16h43.43.330988 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0153008999768645,5.029871699982323,5.029871699982323,9.000896899960935,space,3.9426997000118718,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762571,001,2024-09-18_16h43.21.551,gradcptpy,2024.2.1post4,59.94592880712294,2024-09-18 16h43.43.330988 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.047106400015764,9.057257800013758,9.057257800013758,10.764524099999107,space,1.6994989999802783,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762571,001,2024-09-18_16h43.21.551,gradcptpy,2024.2.1post4,59.94592880712294,2024-09-18 16h43.43.330988 -0400,
0,0,0,space,122.5226929000346,None,0.5453703703703704,4.045397000038065,return,2.4437738999258727,None,,,,0,0,0,0,0,0,0,0,0,0,0,0,164.05349099996965,,,,,,,,,,,,,,,,,,,10.78317299997434,10.791791399940848,10.791791399940848,133.31866380001884,space,122.5226929000346,None,133.35041760001332,133.37231300002895,138.3523849999765,138.35329819994513,138.3702600999968,164.01989250001498,164.04031589999795,164.05349099996965,164.05349099996965,164.05349099996965,0.02044470002874732,164.05349099996965,168.1116841000039,168.1116841000039,170.56366670003626,0.5453703703703704,4.045397000038065,return,2.4437738999258727,None,170.56385219993535,170.57912929996382,171.08261059992947,171.0631475999253,,,,,,,,,,,,,,,,,,,,,762571,001,2024-09-18_16h43.21.551,gradcptpy,2024.2.1post4,59.94592880712294,2024-09-18 16h43.43.330988 -0400,
1,0,1,space,122.5226929000346,None,0.6296296296296297,3.029748799977824,return,0.825157199986279,None,,,,0,0,0,0,0,0,0,0,1,0,1,0,171.08261059992947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.07318079995457,171.08261059992947,171.08261059992947,171.08261059992947,0.010055700084194541,171.08261059992947,174.12999869999476,174.12999869999476,174.96520740003325,0.6296296296296297,3.029748799977824,return,0.825157199986279,None,174.96539749996737,174.98027359996922,175.48366249992978,175.4643140999833,,,,,,,,,,,,,,,,,,,,,762571,001,2024-09-18_16h43.21.551,gradcptpy,2024.2.1post4,59.94592880712294,2024-09-18 16h43.43.330988 -0400,
2,0,2,space,122.5226929000346,None,0.5194444444444445,1.8478876000735909,return,0.23811339994426817,None,,,,0,0,0,0,0,0,0,0,2,0,2,0,175.48366249992978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.47297150001395,175.48366249992978,175.48366249992978,175.48366249992978,0.008678999962285161,175.48366249992978,177.34802719997242,177.34802719997242,177.5992428000318,0.5194444444444445,1.8478876000735909,return,0.23811339994426817,None,177.5994271999225,177.61459010001272,178.11798889993224,178.09858390002046,,,,,,,,,,,,,,,,,,,,,762571,001,2024-09-18_16h43.21.551,gradcptpy,2024.2.1post4,59.94592880712294,2024-09-18 16h43.43.330988 -0400,
3,0,3,space,122.5226929000346,None,0.5416666666666666,1.1785133000230417,return,0.5511851999908686,None,,,,0,0,0,0,0,0,0,0,3,0,3,0,178.11798889993224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.10856319998857,178.11798889993224,178.11798889993224,178.11798889993224,0.009999999892897904,178.11798889993224,179.31494349997956,179.31494349997956,179.88340689998586,0.5416666666666666,1.1785133000230417,return,0.5511851999908686,None,179.88359219999984,179.89865879993886,180.4032255000202,180.38259079994168,,,,,,,,,,,,,,,,,,,,,762571,001,2024-09-18_16h43.21.551,gradcptpy,2024.2.1post4,59.94592880712294,2024-09-18 16h43.43.330988 -0400,
4,0,4,space,122.5226929000346,None,0.5351851851851852,1.3138826000504196,return,0.4053579999599606,None,,,,0,0,0,0,0,0,0,0,4,0,4,0,180.4032255000202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.39300299994648,180.4032255000202,180.4032255000202,180.4032255000202,0.010434500058181584,180.4032255000202,181.73273679998238,181.73273679998238,182.15021739993244,0.5351851851851852,1.3138826000504196,return,0.4053579999599606,None,182.15039929992054,182.16535799996927,182.66879709996283,182.64991669997107,,,,,,,,,,,,,,,,,,,,,762571,001,2024-09-18_16h43.21.551,gradcptpy,2024.2.1post4,59.94592880712294,2024-09-18 16h43.43.330988 -0400,
5,0,5,space,122.5226929000346,None,0.637962962962963,1.6298519999254495,return,0.4221886999439448,None,,,,0,0,0,0,0,0,0,0,5,0,5,0,182.66879709996283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.6591497999616,182.66879709996283,182.66879709996283,182.66879709996283,0.00925410003401339,182.66879709996283,184.31649310002103,184.31649310002103,184.75131570000667,0.637962962962963,1.6298519999254495,return,0.4221886999439448,None,184.75149910000619,184.76668479992077,185.2689565999899,185.25074689998291,,,,,,,,,,,,,,,,,,,,,762571,001,2024-09-18_16h43.21.551,gradcptpy,2024.2.1post4,59.94592880712294,2024-09-18 16h43.43.330988 -0400,
0,0,0,space,122.5226929000346,None,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.25758259999566,185.2689565999899,190.25197520002257,,,,,,,,,,,,,,,,,,762571,001,2024-09-18_16h43.21.551,gradcptpy,2024.2.1post4,59.94592880712294,2024-09-18 16h43.43.330988 -0400,
