subject,block,total_runtime_mins,gradcpt_trial,probe,trial,item_name,low_anchor,high_anchor,item_onset_s,response,slider_rt,enter_rt
064424,1,2.2430888666666666,45,1,1,affect,"completely
negative","completely
positive",41.015142,0.6183333333333333,1.7762387999999874,0.06533119999994597
064424,1,2.2658945,45,1,2,deliberate,"completely
unintentional","completely
intentional",43.396486,0.35833333333333334,0.7484825999999885,
064424,1,2.2895263,45,1,3,movement,unmoving,moving freely,44.763852,0.6416666666666666,0.5147263999999723,0.3597302000000582
064424,1,2.30509635,45,1,4,distractedness,on-task,off-task,46.181901,0.4683333333333333,0.3807699000000184,0.015222099999959937
064424,1,2.3245728666666663,45,1,5,disengage_difficulty,"extremely
easy","extremely
difficult",47.116219,0.6633333333333333,0.6137021000000686,0.006942099999946549
064424,1,2.3454317166666665,45,1,6,confidence,"completely
unconfident","completely
confident",48.284957,0.62,0.6805137000000059,0.032805199999984325
064424,1,2.689117066666667,61,2,1,disengage_difficulty,"extremely
easy","extremely
difficult",67.590857,0.6716666666666666,1.8127319999999827,0.2143929000000071
064424,1,2.7060811166666667,61,2,2,distractedness,on-task,off-task,70.157999,0.31666666666666665,0.43081359999996494,0.049680999999964115
064424,1,2.7230609666666665,61,2,3,deliberate,"completely
unintentional","completely
intentional",71.175422,0.6216666666666667,0.480651899999998,0.0017633999999588923
064424,1,2.7405735166666667,61,2,4,movement,unmoving,moving freely,72.193079,0.41833333333333333,0.4807399000000032,0.02455710000003819
064424,1,2.759763116666667,61,2,5,affect,"completely
negative","completely
positive",73.244188,0.6566666666666667,0.5640149999999267,0.049775599999975384
064424,1,2.77755805,61,2,6,confidence,"completely
unconfident","completely
confident",74.395955,0.42666666666666664,0.4638060999999425,0.05912019999993845
