subject,total_runtime_mins,dom_key,gradcpt_trial,frame_count,transition_step,coherence,condition,resp_key,rt
458061,0.05449478333333333,j,1,59,59,1.0,dom,0,0
458061,0.07116865,j,2,118,59,1.0,dom,0,0
458061,0.08784233333333333,j,3,177,59,1.0,dom,0,0
458061,0.10451598333333334,j,4,236,59,1.0,dom,0,0
458061,0.12117826666666667,j,5,295,59,1.0,dom,0,0
458061,0.13786868333333333,j,6,354,59,1.0,dom,0,0
458061,0.15453033333333333,j,7,413,59,1.0,nondom,0,0
458061,0.17120261666666667,j,8,472,59,1.0,dom,0,0
458061,0.18787236666666668,j,9,531,59,1.0,dom,0,0
458061,0.20454745000000002,j,10,590,59,1.0,dom,0,0
