subject,total_runtime_mins,dom_key,nondom_key,gradcpt_trial,frame_count,transition_step,coherence,condition,resp_key,rt
212124,1.8930210833333334,j,f,1,48,48,1.0,nondom,0,0
212124,1.9066544166666666,j,f,2,96,48,1.0,dom,0,0
212124,1.9202836666666667,j,f,3,144,48,1.0,dom,0,0
212124,1.9339125333333334,j,f,4,192,48,1.0,dom,0,0
212124,1.94752265,j,f,5,240,48,1.0,dom,0,0
212124,1.9611422500000002,j,f,6,288,48,1.0,dom,0,0
212124,1.9747796000000002,j,f,7,336,48,1.0,dom,0,0
212124,1.9884116166666668,j,f,8,384,48,1.0,dom,0,0
212124,2.002026,j,f,9,432,48,1.0,dom,0,0
212124,2.0156656666666666,j,f,10,480,48,1.0,dom,0,0
212124,2.029284366666667,j,f,11,528,48,1.0,dom,0,0
212124,2.0429093333333332,j,f,12,576,48,1.0,dom,0,0
212124,2.0565341166666666,j,f,13,624,48,1.0,dom,0,0
212124,2.0701629833333333,j,f,14,672,48,1.0,dom,0,0
212124,2.0837775333333335,j,f,15,720,48,1.0,dom,0,0
212124,2.0974085666666666,j,f,16,768,48,1.0,dom,0,0
212124,2.1110275,j,f,17,816,48,1.0,nondom,0,0
212124,2.1246655833333334,j,f,18,864,48,1.0,dom,0,0
212124,2.138282166666667,j,f,19,912,48,1.0,dom,0,0
212124,2.1519153833333333,j,f,20,960,48,1.0,dom,0,0
212124,2.1655334666666666,j,f,21,1008,48,1.0,dom,0,0
212124,2.1791663166666666,j,f,22,1056,48,1.0,dom,0,0
212124,2.1927890166666666,j,f,23,1104,48,1.0,dom,0,0
212124,2.2064037166666663,j,f,24,1152,48,1.0,dom,0,0
212124,2.2200347166666665,j,f,25,1200,48,1.0,dom,0,0
212124,2.2336620166666665,j,f,26,1248,48,1.0,dom,0,0
212124,2.2472942833333334,j,f,27,1296,48,1.0,dom,0,0
212124,2.2609088,j,f,28,1344,48,1.0,dom,0,0
212124,2.2745386,j,f,29,1392,48,1.0,dom,0,0
212124,2.288169783333333,j,f,30,1440,48,1.0,nondom,0,0
212124,2.3017872833333333,j,f,31,1488,48,1.0,dom,0,0
212124,2.56401115,j,f,32,1536,48,1.0,dom,0,0
212124,2.5776385666666664,j,f,33,1584,48,1.0,dom,0,0
212124,2.5912674499999997,j,f,34,1632,48,1.0,dom,0,0
212124,2.6048902666666667,j,f,35,1680,48,1.0,dom,0,0
212124,2.6185207166666666,j,f,36,1728,48,1.0,dom,0,0
212124,2.6321373166666664,j,f,37,1776,48,1.0,dom,0,0
212124,2.6457702000000003,j,f,38,1824,48,1.0,dom,0,0
212124,2.65940115,j,f,39,1872,48,1.0,dom,0,0
212124,2.6730238166666664,j,f,40,1920,48,1.0,nondom,0,0
212124,2.6866402833333334,j,f,41,1968,48,1.0,dom,0,0
212124,2.7002691833333334,j,f,42,2016,48,1.0,dom,0,0
212124,2.7139056999999998,j,f,43,2064,48,1.0,nondom,0,0
212124,2.7275218666666663,j,f,44,2112,48,1.0,dom,0,0
212124,2.7411528499999998,j,f,45,2160,48,1.0,dom,0,0
212124,2.7547837333333334,j,f,46,2208,48,1.0,dom,0,0
212124,2.7683981500000003,j,f,47,2256,48,1.0,dom,0,0
212124,2.7820186666666666,j,f,48,2304,48,1.0,nondom,0,0
212124,2.7956502,j,f,49,2352,48,1.0,dom,0,0
212124,2.8092849,j,f,50,2400,48,1.0,dom,0,0
212124,2.8229043166666665,j,f,51,2448,48,1.0,dom,0,0
212124,2.83652525,j,f,52,2496,48,1.0,dom,0,0
212124,2.8501526166666666,j,f,53,2544,48,1.0,dom,0,0
212124,2.8637835,j,f,54,2592,48,1.0,dom,0,0
212124,2.8774012166666667,j,f,55,2640,48,1.0,dom,0,0
212124,2.89103145,j,f,56,2688,48,1.0,dom,0,0
212124,2.904658216666667,j,f,57,2736,48,1.0,dom,0,0
212124,2.9182879666666666,j,f,58,2784,48,1.0,nondom,0,0
212124,2.9319186333333334,j,f,59,2832,48,1.0,dom,0,0
212124,2.9455308333333337,j,f,60,2880,48,1.0,dom,0,0
212124,2.9591637333333334,j,f,61,2928,48,1.0,dom,0,0
212124,2.9727926166666667,j,f,62,2976,48,1.0,dom,0,0
212124,2.9864072333333334,j,f,63,3024,48,1.0,dom,0,0
212124,3.2300050833333334,j,f,64,3072,48,1.0,dom,0,0
212124,3.2436339666666667,j,f,65,3120,48,1.0,dom,0,0
212124,3.2572480166666664,j,f,66,3168,48,1.0,nondom,0,0
212124,3.2708845,j,f,67,3216,48,1.0,dom,0,0
212124,3.2845078666666665,j,f,68,3264,48,1.0,dom,0,0
212124,3.2981408333333335,j,f,69,3312,48,1.0,dom,0,0
212124,3.3117636166666666,j,f,70,3360,48,1.0,dom,0,0
212124,3.3253790166666666,j,f,71,3408,48,1.0,dom,0,0
212124,3.3390166166666666,j,f,72,3456,48,1.0,dom,0,0
212124,3.3526359833333337,j,f,73,3504,48,1.0,dom,0,0
212124,3.3662744833333336,j,f,74,3552,48,1.0,dom,0,0
212124,3.3798819,j,f,75,3600,48,1.0,dom,0,0
212124,3.3935150666666667,j,f,76,3648,48,1.0,dom,0,0
212124,3.4071480500000004,j,f,77,3696,48,1.0,dom,0,0
212124,3.420761333333333,j,f,78,3744,48,1.0,dom,0,0
212124,3.4343869833333334,j,f,79,3792,48,1.0,dom,0,0
212124,3.4480217666666664,j,f,80,3840,48,1.0,dom,0,0
