subject,total_runtime_mins,dom_key,gradcpt_trial,frame_count,transition_step,coherence,condition,resp_key,rt
702850,0.48818566666666663,f,1,60,60,1.0,dom,0,0
702850,0.5051364666666667,f,2,120,60,1.0,dom,0,0
702850,0.5220849666666667,f,3,180,60,1.0,dom,0,0
702850,0.5390302499999999,f,4,240,60,1.0,dom,0,0
702850,0.5559866833333333,f,5,300,60,1.0,dom,0,0
702850,0.5729384999999999,f,6,360,60,1.0,dom,0,0
702850,0.5898901833333333,f,7,420,60,1.0,nondom,0,0
702850,0.6068296666666666,f,8,480,60,1.0,dom,0,0
702850,0.6237870166666667,f,9,540,60,1.0,dom,0,0
702850,0.6407285166666666,f,10,600,60,1.0,dom,0,0
